,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,Versuchsplanung,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,Ursprungs-zeilen,Nr.,Versuch,Art d. Versuchs,Bezeichnung,Kamera,Objektiv,Licht-Farbe,Bilder pro Messung,Anz. Messungen,Komponente,Strahlführung,Target-Position,Anmerkung
3,,0,"- Schauen, ob die Kameras gleich auf der Grundplatte ausgerichtet sind (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Die Objektive so ausrichten, dass Koax.-Licht nach oben zeigt
         - Für beide Kameras checken, da Gewinde nicht zwingend gleich ist!
- Die Komponenten auf den Haltern ausrichten
         - Sollten mittels Anschlag gut positioniert werden
         - Wahrscheinlich ist Positionierung bei 90°-Aufbau am sinnvollsten
         - Bei guter Ausrichtung, kann später alles ohne justieren durchgefühert werden (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Zwischen jeder Messung (alle Versuche) die Achse einmal weg- und wieder hinbewegen (z.B. 50mm) --> kein Autofokus machen
- Darauf achten, dass die Lichter alle immer gleich eingebaut werden (grade und mittig)",,,,,,,,,,,,Vorbereitungen
26,,53,41,V041,Kamera-Setup Wdh.,,?,?,?,10,50,,0°,Mittig,"Quasi Kontrollmessung, ob Werte mit bester Kombination reproduziert werden können."
27,,54,,,,,,,,,,,,,"Ab jetzt nur noch mit der besten Kamera-Licht-Objektiv-Kombination.
Vor allen folgenden Versuchen ALLE Komponenten auf Halter ausrichten. Ggf. hierfür das Target auf 90°-Position setzen, um auch Spiegel und Prisma ausrichten zu können. (Position sollte durch Anschlag vorgegeben sein)"
28,,55,,,,,,,,,,,,,
29,,56,,,,,,,,,,,,,
30,,57,42,V042,Gerade M,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Mittig,
31,,58,43,V043,Gerade M,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Mittig,
32,,59,44,V044,Gerade M,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Mittig,
33,,60,45,V045,Gerade M,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Mittig,
34,,61,,,,,,,,,,,,,
35,,62,46,V042-1,Gerade M Wdh. 1,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Mittig,
36,,63,47,V043-1,Gerade M Wdh. 1,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Mittig,
37,,64,48,V044-1,Gerade M Wdh. 1,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Mittig,
38,,65,49,V045-1,Gerade M Wdh. 1,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Mittig,
39,,66,,,,,,,,,,,,,
40,,67,50,V042-2,Gerade M Wdh. 2,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Mittig,
41,,68,51,V043-2,Gerade M Wdh. 2,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Mittig,
42,,69,52,V044-2,Gerade M Wdh. 2,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Mittig,
